subtype,instance,model,n,canon,W3,W3_retention,template_contam,instance_contam,mean_VRI
coin_change,adversarial,claude,10,0.7,0.6,0.857,1.0,0.0,0.133
coin_change,adversarial,gemini,10,0.5,0.7,1.4,1.0,0.0,-0.033
coin_change,adversarial,gpt4o,10,0.6,0.0,0.0,1.0,0.0,0.5
coin_change,adversarial,llama,10,0.2,0.0,0.0,1.0,0.0,0.233
coin_change,standard,claude,15,0.267,0.2,0.75,0.113,0.307,0.2
coin_change,standard,gemini,15,0.267,0.0,0.0,0.113,0.307,0.133
coin_change,standard,gpt4o,15,0.267,0.067,0.25,0.113,0.307,0.356
coin_change,standard,llama,15,0.0,0.0,,0.113,0.307,0.044
shortest_path,adversarial,claude,34,0.647,0.0,0.0,0.14,0.103,0.706
shortest_path,adversarial,gemini,34,0.059,0.324,5.5,0.14,0.103,0.088
shortest_path,adversarial,gpt4o,34,0.412,0.265,0.643,0.14,0.103,0.157
shortest_path,adversarial,llama,34,0.059,0.0,0.0,0.14,0.103,0.088
shortest_path,standard,claude,21,0.0,0.048,,0.159,0.361,0.556
shortest_path,standard,gemini,21,0.048,0.476,10.0,0.159,0.361,0.317
shortest_path,standard,gpt4o,21,0.714,0.429,0.6,0.159,0.361,-0.016
shortest_path,standard,llama,21,0.048,0.0,0.0,0.159,0.361,0.079
wis,adversarial,claude,17,0.353,0.0,0.0,0.0,0.0,0.118
wis,adversarial,gemini,17,0.0,0.0,,0.0,0.0,0.059
wis,adversarial,gpt4o,17,0.353,0.0,0.0,0.0,0.0,0.059
wis,adversarial,llama,17,0.059,0.059,1.0,0.0,0.0,-0.059
wis,standard,claude,13,0.077,0.0,0.0,0.0,0.084,0.179
wis,standard,gemini,13,0.0,0.0,,0.0,0.084,0.077
wis,standard,gpt4o,13,0.154,0.0,0.0,0.0,0.084,0.077
wis,standard,llama,13,0.0,0.077,,0.0,0.084,-0.077
