problem_id,problem_subtype,old_template_contamination_score,new_template_contamination_score,new_max_ngram_length,new_max_ngram_count,template_query
BW_001,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_002,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_010,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_011,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_014,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_022,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_080,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_120,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_137,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_155,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_172,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_203,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_227,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_282,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_310,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_331,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_350,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_408,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_467,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_495,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_E002,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_E015,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_E017,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_E019,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_E100,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
MBW_001,mystery_blocksworld,0.0,0.0,0,0,"Available actions: attack X, succumb X, overcome X Y, feast X Y."
MBW_002,mystery_blocksworld,0.0,0.0,0,0,"Available actions: attack X, succumb X, overcome X Y, feast X Y."
MBW_010,mystery_blocksworld,0.0,0.0,0,0,"Available actions: attack X, succumb X, overcome X Y, feast X Y."
MBW_014,mystery_blocksworld,0.0,0.0,0,0,"Available actions: attack X, succumb X, overcome X Y, feast X Y."
MBW_037,mystery_blocksworld,0.0,0.0,0,0,"Available actions: attack X, succumb X, overcome X Y, feast X Y."
MBW_10,mystery_blocksworld,0.0,0.0,0,0,"Available actions: attack X, succumb X, overcome X Y, feast X Y."
MBW_100,mystery_blocksworld,0.0,0.0,0,0,"Available actions: attack X, succumb X, overcome X Y, feast X Y."
MBW_127,mystery_blocksworld,0.0,0.0,0,0,"Available actions: attack X, succumb X, overcome X Y, feast X Y."
MBW_185,mystery_blocksworld,0.0,0.0,0,0,"Available actions: attack X, succumb X, overcome X Y, feast X Y."
MBW_495,mystery_blocksworld,0.0,0.0,0,0,"Available actions: attack X, succumb X, overcome X Y, feast X Y."
BW_496,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_497,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_498,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_499,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_500,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_501,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_502,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_503,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_504,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_505,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_506,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_507,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
BW_508,blocksworld,0.0,0.24,6,2,"You are a robot arm. Available actions: pick-up X, put-down X, stack X Y, unstack X Y. You can hold one block at a time."
