source_file,model,family,variant,old_accuracy,new_accuracy,n,n_changed
ALGO_P1_behavioral_claude.csv,anthropic/claude-sonnet-4,coin_change,W1,0.5600,0.5600,25,0
ALGO_P1_behavioral_claude.csv,anthropic/claude-sonnet-4,coin_change,W2,0.3200,0.3200,25,0
ALGO_P1_behavioral_claude.csv,anthropic/claude-sonnet-4,coin_change,W3,0.4500,0.4500,20,0
ALGO_P1_behavioral_claude.csv,anthropic/claude-sonnet-4,coin_change,W4,0.7200,0.7200,25,0
ALGO_P1_behavioral_claude.csv,anthropic/claude-sonnet-4,coin_change,W6,0.0667,0.0667,15,0
ALGO_P1_behavioral_claude.csv,anthropic/claude-sonnet-4,coin_change,canonical,0.4400,0.4400,25,0
ALGO_P1_behavioral_claude.csv,anthropic/claude-sonnet-4,shortest_path,W1,0.4545,0.4545,55,0
ALGO_P1_behavioral_claude.csv,anthropic/claude-sonnet-4,shortest_path,W2,0.6727,0.6727,55,0
ALGO_P1_behavioral_claude.csv,anthropic/claude-sonnet-4,shortest_path,W3,0.0182,0.0182,55,0
ALGO_P1_behavioral_claude.csv,anthropic/claude-sonnet-4,shortest_path,W4,0.8727,0.8727,55,0
ALGO_P1_behavioral_claude.csv,anthropic/claude-sonnet-4,shortest_path,W5,0.0000,0.0000,50,0
ALGO_P1_behavioral_claude.csv,anthropic/claude-sonnet-4,shortest_path,W6,0.1600,0.1600,50,0
ALGO_P1_behavioral_claude.csv,anthropic/claude-sonnet-4,shortest_path,canonical,0.4000,0.4000,55,0
ALGO_P1_behavioral_claude.csv,anthropic/claude-sonnet-4,wis,W1,0.2000,0.2000,30,0
ALGO_P1_behavioral_claude.csv,anthropic/claude-sonnet-4,wis,W2,0.1667,0.1667,30,0
ALGO_P1_behavioral_claude.csv,anthropic/claude-sonnet-4,wis,W3,0.0000,0.0400,25,1
ALGO_P1_behavioral_claude.csv,anthropic/claude-sonnet-4,wis,W4,0.0714,0.0714,28,0
ALGO_P1_behavioral_claude.csv,anthropic/claude-sonnet-4,wis,W6,0.0000,0.0000,25,0
ALGO_P1_behavioral_claude.csv,anthropic/claude-sonnet-4,wis,canonical,0.2333,0.2333,30,0
ALGO_P1_behavioral_gemini.csv,google/gemini-2.5-flash,coin_change,W1,0.3600,0.3600,25,0
ALGO_P1_behavioral_gemini.csv,google/gemini-2.5-flash,coin_change,W2,0.2400,0.2400,25,0
ALGO_P1_behavioral_gemini.csv,google/gemini-2.5-flash,coin_change,W3,0.2800,0.2800,25,0
ALGO_P1_behavioral_gemini.csv,google/gemini-2.5-flash,coin_change,W4,0.4400,0.4400,25,0
ALGO_P1_behavioral_gemini.csv,google/gemini-2.5-flash,coin_change,W6,0.2667,0.2667,15,0
ALGO_P1_behavioral_gemini.csv,google/gemini-2.5-flash,coin_change,canonical,0.3600,0.3600,25,0
ALGO_P1_behavioral_gemini.csv,google/gemini-2.5-flash,shortest_path,W1,0.5636,0.5636,55,0
ALGO_P1_behavioral_gemini.csv,google/gemini-2.5-flash,shortest_path,W2,0.4364,0.4364,55,0
ALGO_P1_behavioral_gemini.csv,google/gemini-2.5-flash,shortest_path,W3,0.3818,0.3818,55,0
ALGO_P1_behavioral_gemini.csv,google/gemini-2.5-flash,shortest_path,W4,0.6727,0.6727,55,0
ALGO_P1_behavioral_gemini.csv,google/gemini-2.5-flash,shortest_path,W5,0.0312,0.0625,32,3
ALGO_P1_behavioral_gemini.csv,google/gemini-2.5-flash,shortest_path,W6,0.1957,0.1957,46,0
ALGO_P1_behavioral_gemini.csv,google/gemini-2.5-flash,shortest_path,canonical,0.6545,0.6545,55,0
ALGO_P1_behavioral_gemini.csv,google/gemini-2.5-flash,wis,W1,0.1000,0.1000,30,0
ALGO_P1_behavioral_gemini.csv,google/gemini-2.5-flash,wis,W2,0.1000,0.1000,30,0
ALGO_P1_behavioral_gemini.csv,google/gemini-2.5-flash,wis,W3,0.0000,0.0800,25,2
ALGO_P1_behavioral_gemini.csv,google/gemini-2.5-flash,wis,W4,0.0000,0.0000,25,0
ALGO_P1_behavioral_gemini.csv,google/gemini-2.5-flash,wis,W6,0.0000,0.0000,25,0
ALGO_P1_behavioral_gemini.csv,google/gemini-2.5-flash,wis,canonical,0.2000,0.2000,30,0
ALGO_P1_behavioral_gpt4o.csv,openai/gpt-4o,coin_change,W1,0.4000,0.4000,25,0
ALGO_P1_behavioral_gpt4o.csv,openai/gpt-4o,coin_change,W2,0.2400,0.2400,25,0
ALGO_P1_behavioral_gpt4o.csv,openai/gpt-4o,coin_change,W3,0.0417,0.2917,24,6
ALGO_P1_behavioral_gpt4o.csv,openai/gpt-4o,coin_change,W4,0.7200,0.7200,25,0
ALGO_P1_behavioral_gpt4o.csv,openai/gpt-4o,coin_change,W6,0.2000,0.2000,15,0
ALGO_P1_behavioral_gpt4o.csv,openai/gpt-4o,coin_change,canonical,0.4000,0.4000,25,0
ALGO_P1_behavioral_gpt4o.csv,openai/gpt-4o,shortest_path,W1,0.5818,0.5818,55,0
ALGO_P1_behavioral_gpt4o.csv,openai/gpt-4o,shortest_path,W2,0.1091,0.1091,55,0
ALGO_P1_behavioral_gpt4o.csv,openai/gpt-4o,shortest_path,W3,0.3273,0.3636,55,2
ALGO_P1_behavioral_gpt4o.csv,openai/gpt-4o,shortest_path,W4,0.5636,0.5636,55,0
ALGO_P1_behavioral_gpt4o.csv,openai/gpt-4o,shortest_path,W5,0.0000,0.0000,22,0
