problem_id,variant_type,model,raw_response,behavioral_correct,correct_answer,problem_family,contamination_pole,difficulty,variant_type_normalized,included,exclusion_reason,old_verified,rescored_correct,verify_method,rescore_reason,verdict_changed
GSM_001,canonical,anthropic/claude-sonnet-4,"I need to calculate the cost of an 86-minute call with two different rates.

Given information:
- First 20 minutes: $0.90 per minute
- After 20 minutes: $0.50 per minute
- Total call duration: 86 minutes

Let me break this down:

First 20 minutes:
20 minutes × $0.90 = $18.00

Remaining minutes:
86 - 20 = 66 minutes
66 minutes × $0.50 = $33.00

Total cost:
$18.00 + $33.00 = $51.00

Therefore, an 86-minute call would cost $51.00.",True,51,arithmetic_reasoning,high,medium,canonical,True,in_bank_ok,True,True,numeric,correct,False
GSM_002,canonical,anthropic/claude-sonnet-4,"I need to find the total number of kids in the park, which includes both girls and boys.

Given information:
- There are 18 girls in the park
- The number of boys is two-thirds the number of girls

First, I'll find the number of boys:
Number of boys = (2/3) × 18
Number of boys = (2 × 18) ÷ 3
Number of boys = 36 ÷ 3
Number of boys = 12

Now I'll find the total number of kids:
Total kids = Number of girls + Number of boys
Total kids = 18 + 12
Total kids = 30

Therefore, there are 30 kids in the park.",True,30,arithmetic_reasoning,high,easy,canonical,True,in_bank_ok,True,True,numeric,correct,False
GSM_003,canonical,anthropic/claude-sonnet-4,"I need to find the total number of purple, yellow, and blue cards.

Given information:
- Purple cards: 30
- Yellow cards: 50% more than purple cards
- Blue cards: equal to the sum of purple and yellow cards

Let me calculate step by step:

Step 1: Find the number of yellow cards.
Yellow cards = Purple cards + 50% of purple cards
Yellow cards = 30 + (50% × 30)
Yellow cards = 30 + 15 = 45

Step 2: Find the number of blue cards.
Blue cards = Purple cards + Yellow cards
Blue cards = 30 + 45 = 75

Step 3: Find the total number of cards.
Total cards = Purple + Yellow + Blue
Total cards = 30 + 45 + 75 = 150

Therefore, there are 150 cards of all mentioned colors.",True,150,arithmetic_reasoning,high,medium,canonical,True,in_bank_ok,True,True,numeric,correct,False
GSM_004,canonical,anthropic/claude-sonnet-4,"I need to calculate the painter's annual earnings by finding out how many days he works per year and multiplying by his daily rate.

Given information:
- Works 2 weeks every month
- Works 6 days every week
- Gets paid £150 every day
- Working for a year (12 months)

Let me calculate step by step:

Days worked per month:
- 2 weeks × 6 days per week = 12 days per month

Days worked per year:
- 12 days per month × 12 months = 144 days per year

Annual earnings:
- 144 days × £150 per day = £21,600

Therefore, the painter earns £21,600 per year.",True,21600,arithmetic_reasoning,high,easy,canonical,True,in_bank_ok,True,True,numeric,correct,False
GSM_005,canonical,anthropic/claude-sonnet-4,"I need to calculate Liam's total weekly learning time by finding his class time and extra learning time.

First, let me find his daily class time:
- Normal students have 6 periods
- Liam takes 1 extra class
- So Liam has 6 + 1 = 7 classes per day
- Each class is 60 minutes long
- Daily class time = 7 × 60 = 420 minutes

Next, let me find his weekly class time:
- He goes to class 6 days a week
- Weekly class time = 420 × 6 = 2,520 minutes

Now I'll calculate his extra learning time on weekends:
- He spends 1/7 of his weekly minutes on Saturday
- He spends 1/7 of his weekly minutes on Sunday
- Saturday extra time = 2,520 ÷ 7 = 360 minutes
- Sunday extra time = 2,520 ÷ 7 = 360 minutes
- Total weekend extra time = 360 + 360 = 720 minutes

Finally, let me find his total weekly learning time:
- Total weekly minutes = 2,520 + 720 = 3,240 minutes
- Convert to hours = 3,240 ÷ 60 = 54 hours

Liam spends 54 hours a week learning.",True,54,arithmetic_reasoning,high,hard,canonical,True,in_bank_ok,True,True,numeric,correct,False
GSM_006,canonical,anthropic/claude-sonnet-4,"I need to calculate the final value of Kayla's shares after the price changes over two years.

Initial investment:
- 10 shares × €56 per share = €560 total initial value
- Initial price per share = €56

After the first year (30% increase):
- New price per share = €56 × (1 + 0.30) = €56 × 1.30 = €72.80
- Total value = 10 shares × €72.80 = €728

After the second year (25% decrease):
- New price per share = €72.80 × (1 - 0.25) = €72.80 × 0.75 = €54.60
- Final total value = 10 shares × €54.60 = €546

Therefore, the final value of all Kayla's shares is €546.",True,546,arithmetic_reasoning,high,medium,canonical,True,in_bank_ok,True,True,numeric,correct,False
GSM_007,canonical,anthropic/claude-sonnet-4,"I need to figure out how much Kai paid for the luxury car rental.

Let me break down the information:
- Rental time: 1 PM to 5 PM = 4 hours total
- Gets 2 hours free
- First paid hour costs $10
- Each subsequent paid hour costs twice the previous hour

First, let me calculate how many hours Kai needs to pay for:
- Total hours: 4 hours
- Free hours: 2 hours
- Paid hours: 4 - 2 = 2 hours

Now let me calculate the cost for the paid hours:
- 1st paid hour: $10
- 2nd paid hour: $10 × 2 = $20

Total cost: $10 + $20 = $30

Therefore, Kai paid $30 for the luxury car rental.",True,30,arithmetic_reasoning,high,hard,canonical,True,in_bank_ok,True,True,numeric,correct,False
GSM_008,canonical,anthropic/claude-sonnet-4,"I need to track how the virus spreads each day, where each infected person infects 3 new people daily.

Let me work through this day by day:

**Day 0 (starting point):** 16 people infected

**Day 1:** 
- The 16 infected people each infect 3 new people
- New infections: 16 × 3 = 48 people
- Total infected: 16 + 48 = 64 people

**Day 2:**
- All 64 infected people each infect 3 new people
- New infections: 64 × 3 = 192 people
- Total infected: 64 + 192 = 256 people

**Day 3:**
- All 256 infected people each infect 3 new people
- New infections: 256 × 3 = 768 people
- Total infected: 256 + 768 = 1,024 people

Alternatively, I can use the formula for exponential growth:
- Each day, the total number of infected people is multiplied by 4 (the original person plus 3 newly infected)
- After 3 days: 16 × 4³ = 16 × 64 = 1,024 people

Therefore, after 3 days, 1,024 people are infected.",True,1024,arithmetic_reasoning,high,medium,canonical,True,in_bank_ok,True,True,numeric,correct,False
GSM_009,canonical,anthropic/claude-sonnet-4,"I need to calculate the total number of eggs Nia will eat over 108 days, then convert that to dozens.

Let me break this down into two periods:

Period 1: 84 days at 5 eggs per day
- Eggs needed = 84 × 5 = 420 eggs

Period 2: 24 days at 7 eggs per day
- Eggs needed = 24 × 7 = 168 eggs

Let me verify the total days: 84 + 24 = 108 days ✓

Total eggs needed = 420 + 168 = 588 eggs

Now I need to convert eggs to dozens:
- 1 dozen = 12 eggs
- Number of dozens = 588 ÷ 12 = 49 dozens

Therefore, Nia will need 49 dozens of eggs for 108 days.",False,49,arithmetic_reasoning,high,medium,canonical,True,in_bank_ok,False,False,numeric,incorrect,False
GSM_010,canonical,anthropic/claude-sonnet-4,"I need to track the number of kernels that pop in each 30-second interval, then add the kernels that pop from residual heat.

Let me break this down step by step:

**First 30 seconds:**
60 kernels pop

**Second 30 seconds:**
4 times the first 30 seconds = 4 × 60 = 240 kernels pop

**Third 30 seconds:**
6 times the initial rate (first 30 seconds) = 6 × 60 = 360 kernels pop

**Fourth 30 seconds:**
Half the rate of the past 30 seconds (third interval) = ½ × 360 = 180 kernels pop

**After removing from heat:**
A quarter of the kernels that popped in the final 30 seconds = ¼ × 180 = 45 kernels pop

**Total popcorn:**
60 + 240 + 360 + 180 + 45 = 885 pieces of popcorn

Therefore, Zahra has 885 pieces of popcorn to eat.",True,885,arithmetic_reasoning,medium,medium,canonical,True,in_bank_ok,True,True,numeric,correct,False
