problem_id,model,family,subtype,VAR,acc_canonical,acc_W1,acc_W2,acc_W3,acc_W4,acc_W5,acc_W6
GSM_001,google/gemini-2.5-flash,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
GSM_002,google/gemini-2.5-flash,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,0.0,1.0,1.0,
GSM_003,google/gemini-2.5-flash,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,1.0,0.0,1.0,
GSM_004,google/gemini-2.5-flash,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,0.0,1.0,1.0,
GSM_005,google/gemini-2.5-flash,GSM,gsm_symbolic,1.0,0.0,1.0,0.0,1.0,1.0,0.0,
GSM_006,google/gemini-2.5-flash,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
GSM_007,google/gemini-2.5-flash,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,0.0,0.0,1.0,
GSM_008,google/gemini-2.5-flash,GSM,gsm_symbolic,0.0,1.0,0.0,0.0,0.0,0.0,1.0,
GSM_009,google/gemini-2.5-flash,GSM,gsm_symbolic,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
GSM_010,google/gemini-2.5-flash,GSM,gsm_symbolic,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
GSM_011,google/gemini-2.5-flash,GSM,gsm_symbolic,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
GSM_012,google/gemini-2.5-flash,GSM,gsm_symbolic,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
GSM_013,google/gemini-2.5-flash,GSM,gsm_symbolic,1.0,1.0,0.0,1.0,0.0,1.0,0.0,
GSM_014,google/gemini-2.5-flash,GSM,gsm_symbolic,0.0,1.0,1.0,1.0,1.0,1.0,1.0,
GSM_015,google/gemini-2.5-flash,GSM,gsm_symbolic,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
GSM_016,google/gemini-2.5-flash,GSM,gsm_symbolic,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
GSM_017,google/gemini-2.5-flash,GSM,gsm_symbolic,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
GSM_018,google/gemini-2.5-flash,GSM,gsm_symbolic,1.0,1.0,1.0,0.0,1.0,0.0,0.0,
GSM_019,google/gemini-2.5-flash,GSM,gsm_symbolic,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
GSM_020,google/gemini-2.5-flash,GSM,gsm_symbolic,1.0,1.0,1.0,0.0,0.0,0.0,0.0,
GSM_041,google/gemini-2.5-flash,GSM,gsm_symbolic,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
GSM_042,google/gemini-2.5-flash,GSM,gsm_symbolic,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GSM_043,google/gemini-2.5-flash,GSM,gsm_symbolic,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GSM_044,google/gemini-2.5-flash,GSM,gsm_symbolic,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GSM_045,google/gemini-2.5-flash,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
GSM_046,google/gemini-2.5-flash,GSM,gsm_symbolic,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GSM_047,google/gemini-2.5-flash,GSM,gsm_symbolic,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GSM_048,google/gemini-2.5-flash,GSM,gsm_symbolic,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GSM_049,google/gemini-2.5-flash,GSM,gsm_symbolic,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GSM_050,google/gemini-2.5-flash,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
GSM_051,google/gemini-2.5-flash,GSM,gsm_symbolic,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GSM_052,google/gemini-2.5-flash,GSM,gsm_symbolic,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
GSM_053,google/gemini-2.5-flash,GSM,gsm_symbolic,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
GSM_054,google/gemini-2.5-flash,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
GSM_055,google/gemini-2.5-flash,GSM,gsm_symbolic,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
GSM_056,google/gemini-2.5-flash,GSM,gsm_symbolic,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
GSM_057,google/gemini-2.5-flash,GSM,gsm_symbolic,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GSM_058,google/gemini-2.5-flash,GSM,gsm_symbolic,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GSM_059,google/gemini-2.5-flash,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
GSM_060,google/gemini-2.5-flash,GSM,gsm_symbolic,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
GSM_061,google/gemini-2.5-flash,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
GSM_062,google/gemini-2.5-flash,GSM,gsm_symbolic,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
GSM_063,google/gemini-2.5-flash,GSM,gsm_symbolic,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GSM_064,google/gemini-2.5-flash,GSM,gsm_symbolic,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
